cd_datetime,principle_concept_id,concept_name,deprecated_concept_id
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156840
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156848
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156865
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156889
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156894
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921157113
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921157141
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921157150
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921157155
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921157194
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921157227
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921157228
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921157273
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151632
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151634
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151669
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151716
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151723
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151768
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151771
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151797
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151858
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151859
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921151898
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152082
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152083
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152144
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152146
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152147
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152165
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152201
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152263
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152362
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152389
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152418
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152476
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152481
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152504
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152513
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152575
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152605
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152738
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152747
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152836
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152878
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921152890
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153108
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153251
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153309
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153394
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153403
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153585
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153650
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153740
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153786
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153810
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153885
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153889
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153928
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921153983
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154090
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154118
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154137
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154166
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154204
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154218
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154260
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154382
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154549
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154583
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154678
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154717
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154756
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154899
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154955
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921154961
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155054
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155055
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155200
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155272
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155273
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155296
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155319
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155404
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155449
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155496
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155515
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155558
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155613
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155627
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155647
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155724
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155740
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155925
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921155985
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156020
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156025
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156054
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156063
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156074
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156090
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156110
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156262
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156271
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156289
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156310
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156316
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156551
2020-09-21T19:50:48Z,921151502,ERLOTINIB,921156581
